"","Flavor"
"9059","""Enemies of the wood! Your presence here is a slap in Nylea's face. Do not be surprised if she slaps back."" —Telphe, druid of Nylea"
"9060","A few gnawing thoughts can eat at the mind until nothing else remains."
"9061","""Pleasure doing business with you."""
"9062","Wounds of the flesh are easy to heal. Wounds of the mind may never be undone."
"9063","A gargoyle's voice reaches pitches that will shatter glass and warp bone."
"9064","""Kaervek believes the drakes' cries herald his victory; in truth, they mourn aloud for his impending demise."" —Teferi"
"9065","Orzhov mage-sculptors bring their stone to life before they carve it. The shrieking begins as soon as the mouths are formed."
"9066","You have to admire its enthusiasm."
"9067","When Crosis roared, the battle ended and the slaughter began."
"9068","""That's no glint hawk. The skies have changed for the worse."" —Ria Ivor, White Sun partisan"
"9069","The gods known to the merfolk as Ula, Emeria, and Cosi were nothing more than false memories of a monstrous trinity: the Eldrazi titans Ulamog, Emrakul, and Kozilek."
"9070","""Do not fear adversity. Let your courage be your strength."" —Onatah, Anaba shaman"
"9071","""Have you ever killed insects nibbling at your crops? I think that's what the Eldrazi believe they're doing to us."" —Sheyda, Ondu gamekeeper"
"9072","Many travelers have wandered into a fog only to find that it had teeth, claws, and an appetite."
"9073","In establishing the Shu kingdom, Liu Bei's forces fought against Ma Chao at Chengdu. Eventually, Ma Chao surrendered and became one of Liu Bei's Tiger Generals."
"9074","Confronting Cao Cao's army at Steepslope Bridge, Zhang Fei bellowed, ""I am Zhang Fei of Yan! Who dares fight me to the death?"" Cao Cao's army cowered and fled."
"9075","Throughout the three kingdoms, important generals were often guarded by small groups of expert soldiers known as ""elite companions."""
"9076","Kongming's first campaign against the Wei kingdom was a rousing success until an arrogant Shu general, Ma Su, foolishly lost the city of Jieting."
"9077","""The common folk are ceaselessly active. The fields are fertile and the soil productive, and neither flood nor drought plagues us."" —A Shu diplomat"
"9078","Liu Bei lost many men at the battle of Runan because of his lack of strategy. It wasn't until he met Kongming that he began to truly succeed as a leader."
"9079","Keeping a million-man army fed was no easy task. Grain and rice caravans were the lifeblood of the empire."
"9080","""One scratch on a wall meant safe passage, two that the target had already been raided, and three warned of a trap."" —Weaponry of Kamigawa"
"9081","Aranghil held her fury in her heart, hard and bright as a ruby. With its razor edge, she rewrote the laws of battle."
"9082","During Kongming's campaigns against the Wei, his Shu troops rotated from the battlefront to the fields every hundred days."
"9083","""Capturing this specimen was not easy. Study it well, that you someday might be as versatile."" —Gerda Äagesdotter, Archmage of the Unseen"
"9084","""Relax. I'm sure it's just a snake hissing."" —Avram Garrisson, leader of the Knights of Stromgald"
"9085","""They were your friends, your family, your clan. They want only to welcome you."" —Tasigur, the Golden Fang"
"9086","""I almost envy them. They can't get frostbite."" —Kirada, Silumgar enforcer"
"9087","The Phyrexians' only interest in organic life is discerning its weakness."
"9088","Urza dared to attack Phyrexia. Slowly, it retaliated."
"9089","The Patriarch dreams of vile plague."
"9090","His sickle was forged in the heat of another cinder's funeral pyre."
"9091","""Prophecy is whatever one makes of it, but destiny cannot be changed."" —Sidar Jabari"
"9092","Hisoka's wizards struggled for years to master the art of redirection that came so naturally to the shamans of Ganzan Pass."
"9093","His friends at the gym never knew Garanth's secret shame. For years he had tried to walk away from professional arm wrestling, but hey—free monkeys."
"9094","""Those who embrace the harsh land rather than fight it find they have a powerful ally."" —Nissa Revane"
"9095","""They encircled our patrol with the stealth of snakes, corralling us like livestock."" —Merrik Aidar, Benalish patrol"
"9096","""I tire of your prattle, and your face."""
"9097","The Sultai distinguish between pet and slave by the material of the chain."
"9098","""Hold the line, hold the li—"" —General Srok, last words"
"9099","""They thought their fortress impregnable . . . until we marched up with ours, and blocked out the sun."" —Golran, dragonscale captain"
"9100","""Ready . . . uh . . . fire!"""
"9101","To a siegehorn, there is no such thing as a dead end."
"9102","""The walls of the wicked will fall before us. Ready the siege engines. We proceed to war!"" —General Avitora"
"9103","Perfect for getting through to the consuls."
"9104","The mere approach of an Abzan war beast is enough to send enemies fleeing in panic."
"9105","The Rubblefield was once among the wealthiest districts in Ravnica. All it took was a single wurm to reduce it to ruins."
"9106","""Twice I have let the Legacy slip away. Never again."" —Karn, silver golem"
"9107","""Rhonas's monument belongs to the wurms now. Look elsewhere for refuge."" —Arnun, vizier of the menagerie"
"9108","Great devotion yields great reward."
"9109","The Order of Saint Traft found new strength with Sigarda's support."
"9110","Many whose faith was destroyed by Avacyn turned to the only angel who remained true to humanity."
"9111","It blindly marches on Thraben's gates, guided by its master's direful will."
"9112","""The Silumgar creep around our borders and infiltrate our aeries. We must remain ever watchful."" —Golran, Dromoka captain"
"9113","""For unwavering commitment and unflinching strength, the Order of the White Orchid confers its sigil. Rise, knight-captain, and do your duty."""
"9114","""One sigil awarded for valor, the other awarded for surviving Hellkite's Pass."""
"9115","""Do not mistake a behemoth's assistance for subservience."" —Mayael the Anima"
"9116","Each sigil marks the recognition of a great deed and signifies a duty owed to the one who granted it."
"9117","The runes seem to come alive as it moves, rippling like slow flames across its scales."
"9118","Kruphix hid the most dire prophecies about humankind where humans would never find them and tritons wouldn't care to read them."
"9119","Arrows are only one way to remove an enemy."
"9120","When Asha left Bant, she ensured that the world would have protection and order in her absence."
"9121","As the elves learned the hymns of angels, the knights learned the roars of titans."
"9122","""We lay our dead to rest in a beautiful bed, in hopes that the Ancestor will think it a fit cradle for the next life."" —Mystic elder"
"9123","With each honor he earns, Gideon paves the path to his redemption."
"9124","""The reflection is true. It is you who are distorted and false."""
"9125","It leaps from tree to tree, revealing the enemy's positions."
"9126","Gruul clanfolk obey few rules, but all feel bound to answer the call of the horn."
"9127","Little agonies pave the way to greater power."
"9128","Nephalia is home to many hard-shelled creatures of unusual size, the largest of which are either avoided or worshipped."
"9129","""Take a quiet moment to reflect on your sins."" —Cleph, Order of Redeemed Souls"
"9130","Scholars say that arbiters exist on every world, created by an unknown hand to enforce justice."
"9131","On the fourth day they passed through a forest of immense stacked stones. Althemone, youngest of the companions, called these pillars the work of a god, but the Champion knew better. She quickened her pace. —The Theriad"
"9132","She feels no need to disturb her victim's slumber."
"9133","""The answer to life should never be death; it should always be more life, wrapped tight around us like precious silks."""
"9134","When the Honden of Cleansing Fire was abandoned, its attendants swarmed Kamigawa to erode mortal will."
"9135","The same magic that lets geists pass through our realm can force them out of it."
"9136","Made to ward off the Grim Captain and silence the lure of undeath."
"9137","It's not just a feeling—you are being watched."
"9138","It serves a justice higher than the whims of the gods."
"9139","""I watched it pass at a distance. When I looked back to my companions, Najet was dead.""—Akiri, kor line-slinger"
"9140","Street folk call them ""spire mice,"" but behind the mockery is an unspoken envy of the ledgewalkers' skill at avoiding harm."
"9141","In light he finds both gift and weapon."
"9142","""The bigger they are, the more fun it is to watch them fall flat on their faces."""
"9143","Simple wooden staff Made from life, protecting life, Stronger than cold steel."
"9144","Hands weave life and death; Intertwining spirits knit Tapestries and shrouds."
"9145","By the time the spider comes to slurp up its dinner, its victims have been partially dissolved by acidic silk."
"9146","Sometimes it's possible to pull a meal out of thin air."
"9147","Elvish weavers use spidersilk to make everything from tapestries to rappelling ropes."
"9148","Better scarves than scars."
"9149","If they could replenish the land instead of draining it, Jamuraa would be teeming with them."
"9150","Silumgar takes pride in the diversity of his sibsig."
"9151","Silumgar dominates his clan from a fortress on the Marang River, where he rests upon piles of treasure."
"9152","""No machinations, no puppet strings, no plots. Just pure, sweeping death."" —Tasigur, the Golden Fang"
"9153","It does not wear a crown or sit on a throne of gold, but those who have witnessed its power hail it nonetheless."
"9154","""Be careful in your hunt. The clever little creature can steal your wards and lead you right into the werewolf's den."" —Britta, midwife of Gatstaf"
"9155","""Control them? No. I gird them in armor and let them loose."" —Yacha, Otepec huntmaster"
"9156","It patrols the grafs for miles around Thraben, ensuring that the unhallowed do not wake for long."
"9157","""In the wild, white fur like mine is an aberration. We lack natural camouflage, but the inability to hide encourages other strengths."" —Ajani Goldmane"
"9158","""I've seen a larger Erne knock a Giant to the ground and stay airborne. They move not with the wind, but as the wind."" —Arna Kennerüd, Skyknight"
"9159","Silverfurs are the last remaining wolfir."
"9160","""If you keep to the shallows, you'll never learn the secrets of the depths."""
"9161","The Silvergill school monitors traffic on the Lanes, ensuring that the riffraff don't interfere with travelers."
"9162","Magical etchings turned a whittler's tool into a wolfhunter's weapon."
"9163","""Hammer out your doubts as you forge your weapon. To slay a dragon, your resolve must be stronger than your steel."""
"9164","The myr are like quicksilver: malleable in function and adaptable in form."
"9165","A symbol of hope for hopeless times."
"9166","Partisan spies warned that no armor would protect the body from Phyrexian infection. Neurok strategists took that as a challenge."
"9167","""Shield yourself with faith. Arm yourself with silver."" —Slayer Kastinne"
"9168","He was born of the Mirari, thrust out of his homeland before he was even aware. Left without purpose or meaning, he found both in the pits."
"9169","Sima Yi fought for four generations of the Cao family before his own grandson became emperor and united the three kingdoms."
"9170","""It's odd to see the apes rip down trees to arm themselves in defense of their forests."" —Taaveti of Kelsinko, elvish hunter"
"9171","These monkeys mean business."
"9172","""It's rarely worth questioning where the mana comes from. Just be grateful."" —Jaya Ballard, task mage"
"9173","""We measure our progress in heartbeats."" —Prime Speaker Zegana"
"9174","Simic symbols are among the most intricate and fragile, yet few vandalize them for fear of the strange lifeforms that might be released."
"9175","Enter and comprehend the perfection of orchestrated life."
"9176","Simic initiates begin their training as experimental subjects. Failures are flushed to the undersewers."
"9177","""Infused with autochthon blood for size and hellion cells for speed, the ragworm is perfect for clearing the undergardens of both rats and vagrants."" —Yolov, Simic bioengineer"
"9178","For the Simic Combine, its sigil serves not as an emblem of honor but as a trademark. Its familiar image on any biological commodity attests to superb craftsmanship, ingenious innovation, and higher cost."
"9179","""We've bred out the shortcomings of the species' natural form and replaced them with assets of our own design."" —Momir Vig"
"9180","Hot wind whipped up as if the weather itself wanted to fight Phyrexians."
"9181","A blossom's petals close inward to shut out the frost. —Nantuko teaching"
"9182","""That must weigh heavily on your soul. Let me purge it for you."""
"9183","As the muscle cords of the creature twitched, Hanna saw an unsettling unanimity in the others' rippling flesh. She didn't know what it meant, but she urged Sisay to keep the ship at a safe distance."
"9184","Burnt flesh. Blackened soul."
"9185","Even the balmgivers of Bant couldn't heal the incurables, but sharing their torment helped."
"9186","An old family recipe for an old family grudge."
"9187","""You caught something on a cold night's stroll? No, I'd say something caught you."" —Mezim Magrah, civic healer"
"9188","""I bless the living with a song of death."" —Lord Dralnu"
"9189","High walls, a sturdy keep, a strong garrison . . . they made no difference. In a matter of moments, the city was lost."
"9190","""Steel rusts. Arrows break. But righteousness is always strong, always sharp."""
"9191","Conspirators poisoned the oracle not because her visions were wrong, but because they were right."
"9192","""Prepare to be boarded."""
"9193","A siren once tried to steal it out of jealousy but was caught by the song of its strings."
"9194","Deception and misdirection are the heart of the pirate's arsenal."
"9195","He's the calm that hides the coming storm."
"9196","Its victims become mindless lunatics. Conveniently, that's the first step in joining the Cult of Rakdos."
"9197","As the great scourge passed by, Zendikar shivered, then lay silent."
"9198","This storm blows gales through the dreams of men."
"9199","""Blow, fiery wind, / strip illusion from the eye. / Blow, fiery wind of truth."" —Femeref chant"
"9200","""Remember Sir Shandlar! Remember and stand firm!"" —rallying cry of the Eberyn militia"
"9201","""I'm not one for pretty things,"" said Sisay. ""Unless they're pretty useful as well."""
"9202","We are many wicks sharing a common tallow; we feed the skies with the ashes of our prey."
"9203","Even the brave have cause to tremble at the sight of Sivitri Scarzam. Who else has tamed Scarzam's Dragon?"
"9204","Instinct yields the truest insight."
"9205","Is it six?"
"9206","""Of course you should fight fire with fire. You should fight everything with fire."" —Jaya Ballard, task mage"
"9207","Three heads are better than one."
"9208","""The sky isn't falling—it's being thrown at us!"" —Otak, Tin Street shopkeep"
"9209","""They bind us with their laws. We free ourselves with nature's fist."" —Nikya of the Old Ways"
"9210","""This palace will be our fire-spit, and roasted prince our victory meal. Send in the torch-pigs!"" —Ghut Rak, Gruul guildmage"
"9211","Though they lack true flesh and bone of their own, changelings imitate either with equal ease."
"9212","The less flesh there is, the more teeth there seem to be."
"9213","""And then I realized we all have skeletons on the inside. Why wait until the bodies are dead to control them?"" —Jadar, ghoulcaller of Nephalia"
"9214","Undeath doesn't end the kathari's search for carrion; it only removes one corpse from the Dregscape."
"9215","His family was a small price to pay for the dark gifts that called to him."
"9216","They watched as the snake shed layer after layer until only cold bone remained."
"9217","Necromancers are judged by the most powerful undead they've ever created. There are those who have animated just a single being, yet are considered the pinnacle of their dark craft."
"9218","Fire burns away both flesh and freedom."
"9219","Metal permeates the marrow of every bone in Mephidross—except one."
"9220","""The sea gives up her dead as easily as the soil."" —Lim-Dûl, the Necromancer"
"9221","""Valor is a currency of the living that serves us well."" —Cosper Lowe of the Silbern Guard"
"9222","""These Gruul skin-runes—discern whether their patterns evoke streets, leylines, or both. You have four days."" —Niv-Mizzet, to his assistant"
"9223","""Your creations are effective, Sheoldred, but we must unite the flesh, not merely flay it."" —Elesh Norn, Grand Cenobite"
"9224","The first Yawgmoth priest to harness their power was rewarded with several unique mutilations."
"9225","""I treat each day as your last."""
"9226","""I order you to volunteer."""
"9227","He's boss because he's smart enough to get out of the way."
"9228","Once the goblins thought about it, they preferred being atop a slateback to being in front of, behind, or underneath one."
"9229","Deep beneath the ruined continent of Otaria, there's a mine where goblins still work, ignorant of the destruction above."
"9230","In a shaman's grimy hands, a concoction of dried Skirk Ridge herbs can become the face of panic."
"9231","""Within blood is life. Within life is fire. Within fire is the path to our masters' glory!"""
"9232","Certain initiates into the Skirsdag cult take a vow of blindness, pledging obedience to none but demonkind."
"9233","""Thraben's pleas fall on deaf ears. Ours do not."""
"9234","""I can no longer stand by as these Skirsdag infiltrators rot the church from within. Even the Lunarch Council is compromised. What a fool I've been."" —Odric"
"9235","It flows like water over the forest floor, as deadly as the swiftest current."
"9236","""This monstrosity will do—for now."" —Davvol, Evincar of Rath"
"9237","""The brood spread far faster than we could kill it. I fear the worst is yet to come."" —The War Diaries"
"9238","Most living things were weakened and stunted in the ruinous aftermath of the Phyrexian invasion, but a few grew more horrid than ever."
"9239","The imps' warbling cries echo through Phyrexia's towers like those of mourning doves in a cathedral."
"9240","Like a cross between a spider and a spyglass, but friendlier."
"9241","Fierce when roused, this breed of kavu is easily distracted by a strong voice or melodic tune."
"9242","It skitters across the Shiv, each tendril hitting the ground with a sharp snap."
"9243","""This close to Rimewind Keep, no avalanche is nature's doing."" —Ukoten, centaur chieftain"
"9244","""They're so much more willing to parley once they're hanging from a boom by the ankle!"""
"9245","In the Cateran guild, being caught is a capital offense."
"9246","""They exist only so long as the living take no notice."" —Kifimbo, Shadow guildmage"
"9247","Only a focused mind can survive it."
"9248","""Let any who doubt the evil of using the ancient devices look at this infernal machine. What manner of fiend would design such a sadistic device?"" —Sorine Relicbane, Soldevi heretic"
"9249","The mind is a beautiful bounty encased in an annoying bone container."
"9250","""Your blood I'll use. Your skull I'll keep."""
"9251","The lawmage's argument was clever and well reasoned, but Blunk's response proved irrefutable."
"9252","Once tasted, the flavor of skullmead lingers in the throat, a secret brand of guilt for those who partake in forbidden pleasures."
"9253","Though lifeless, the skull still possessed a strange power over the flow of magic."
"9254","Ramos fell, and there was night."
"9255","""We could never accept anyone with a face that pretty or a mind that sane."" —Nyoser, Gore-House ringleader"
"9256","No body is ready for this kind of power."
"9257","""A good whack on the head usually has the same effect."" —Kamahl, pit fighter"
"9258","""Finally, a use for that head of yours."" —Braids, dementia summoner"
"9259","Vampires call the gift of flight ""exultation."" For their enemies, it brings only sorrow."
"9260","""If bats are the only thing between me and a mountain of Orzhov coins, then I'm about to be a very rich thief."""
"9261","Their newfound wings shined elegantly and functioned partially."
"9262","""Have your dreams of a better society become an obsession?"" —Watnik, master glassblower"
"9263","From Otaria, the sun above meets the sea below at a glittering horizon."
"9264","They swim on tides few can see, away from a threat few yet understand."
"9265","Its fiery visitation burns away the fog of war and dissipates the ties of loyalty."
"9266","Both Boros and Azorius scout the games in hopes of recruiting the finest athletes."
"9267","Every young leonin wishes to become a skyhunter, for they soar closest to the suns."
"9268","""We leonin have come to rule the plains by taking to the skies."" —Raksha Golden Cub"
"9269","As tireless as her mount, a skyhunter's vigil is measured in days."
"9270","""Like dawn's first light, blind the unprepared and banish the shadows."" —Skyhunter creed"
"9271","""I do not know which gives me more pride: the legions of soldiers marching in thunderous lockstep, or the cry of the skyknights riding their rocs like jagged lightning overhead."" —Razia"
"9272","""It preys on those who would spy on our lands, so we never prey on it."" —Kroshkar, Gruul shaman"
"9273","""It will dodge your first arrow and flatten you before there's a second."" —Alcarus, Selesnya archer"
"9274","From the perpetual shadowsmoke that hung above the ship, a silent form emerged, lips curled with malice and anticipation."
"9275","""I was born to glory."""
"9276","""Try not to look guilty. Or delicious."" —Thorpe, street urchin"
"9277","She will not be content until hers is the highest head in the sky."
"9278","As the dawns break, the manta soars."
"9279","""It may be unconventional, but I'll take any steady mount in a storm."""
"9280","""Of course I plan on going up. Kang here is the most trusted 'fin on the squad. Afraid? Me? No, I'm just . . . waiting for the right wind conditions."""
"9281","""Hold up your spears. And try not to look like food."" —Tarsa, Sea Gate sell-sword"
"9282","""The Eldrazi are nothing if not thorough."" —Jace Beleren"
"9283","""All clouds should be so organized."" —Isperia"
"9284","""It'll get us to the portal, but I can't guarantee what it'll do to the ship."" —Hanna, Weatherlight navigator"
"9285","Escapes should always be daring."
"9286","In Rath, arrows are guided not by virtue but by necessity."
"9287","""Behold,"" said Freyalise to Eladamri. ""Your Skyshroud home has followed you to Dominaria."""
"9288","The forest's constant struggle is to keep the spreading flowstone at bay."
"9289","Condor's flight augurs sleepless night. —Skyshroud proverb"
"9290","""It is our duty to endure."" —Eladamri, Lord of Leaves"
"9291","""Civilization is a conspiracy to disguise the mutilation of nature."" —Skyshroud elite creed"
"9292","The earliest mystics believed that the falcon slit the sky to let the light break through."
"9293","""It's OK. They're just elves."""
"9294","Not even the elves truly know the Skyshroud Forest. The rangers are merely the best equipped to handle its uncertainty."
"9295","The elves and merfolk have nothing but bitterness for each other. The trolls, however, find them both rather tasty."
"9296","""We were not made for war. Like flowstone, Volrath shaped us to it."" —Eladamri, Lord of Leaves"
"9297","""If it tastes one drop of elvish blood I will cast it from the shroud to see it burn."" —Eladamri, Lord of Leaves"
"9298","The only thing more ill-tempered than a griffin in a web is the spider that must subdue it."
"9299","Pray her spear reaches you first. Her griffin is less kind."
"9300","""Like a strain of music: easy to remember but impossible to catch."" —Mirri of the Weatherlight"
"9301","Would you trade the world for such a pet?"
"9302","The great birds dive through the sky, wings skimming the aether streams, to fall upon their unsuspecting prey."
"9303","""Wherever the Threefold Sun shines, great wings may go."" —Emperor Apatzec Intli III"
"9304","They lament the doom that is coming to Bant without realizing the part their own leaders have played in it."
"9305","""Let my wisdom give you wings."""
"9306","In the moment of truth, it is as though time stands still, and the whale waits, suspended in the sky."
"9307","It's so light and fragile that it can glide where the air is thinnest."
"9308","""I am as the wind that bears me: harsh yet gentle, fleeting yet ever-present. Together we fly beyond imagination."""
"9309","Ojutai's words must be translated from Draconic before his students can benefit from their wisdom."
"9310","Neither subtle nor pretty."
"9311","""Seal the furnace vents. Admit no others. We'll tend our forges without their tainted ways."" —Decree of Urabrask"
"9312","""As long as we have the will to fight, we are never without weapons."" —Koth of the Hammer"
"9313","""Unless you enter the tiger's lair, you cannot get hold of the tiger's cubs."" —Sun Tzu, Art of War (trans. Giles)"
"9314","""The amber sun smokes with fury, gazing on foes that gather like ants invading our home. We are ready! Blade and claw strike as one."" —Huatli"
"9315","It runs an endless circuit along the ruined roads of the soon-to-be-forgotten Mirran civilization."
"9316","The pattern of life can be studied like a book, if you know how to read it."
"9317","""Merciless to the point of psychosis. Let's give him a job."" —Zelinas, Orzhov recruiter"
"9318","It's rather embarrassing to end up with your head mounted over his hearth."
"9319","It kills what is, making way for what should not be."
"9320","The Orzhov clergy would never cross its path, but sending thrull couriers to do so is cheap and entertaining."
"9321","A Rakdos party is a flop if anyone lives to talk about it."
"9322","Death is only the beginning of the end."
"9323","""Cut the beasts out from under them and their strength is nothing."" —Vona of Iedo, Butcher of Magan"
"9324","Nicol Bolas doesn't distinguish between servants and victims."
"9325","Having lost their minds, they now want yours."
"9326","The elves had the edge in guile, skill, and valor. But in the end, only sheer numbers mattered."
"9327","You don't want to see his trophy room."
"9328","""Don't stop chopping until the pieces stop wiggling."" —Rem Karolus, Slayer of Eldrazi"
"9329","Its courtyards are lit during every hour of the day so that night may never fall within its walls."
"9330","The pirates had left the open sea behind, but they were still in their element: reckless adventure."
"9331","""I give them dreams so wondrous that they hesitate to return to the world of the conscious.""—Garild, merfolk mage"
"9332","Sleep doesn't always mean rest."
"9333","""Gambling with mages never is."" —Remin, venerable monk"
"9334","The magic of the River Heralds is so great that even a single shaman can fend off a pirate landing party."
"9335","As Jhoira restored the Weatherlight, a mushroom growing in its hold unexpectedly became her first crew member."
"9336","""Give me enough refuse and mana and I will summon an ooze that can engulf all of Ravnica."" —Cevraya, Golgari shaman"
"9337","Its slime liquefies the ground as efficiently as its fangs shred prey."
"9338","The Tajuru elves devised ways to let the forest defend itself."
"9339","It's most effective when it doesn't eat the ammunition."
"9340","""I need a better hiding place."""
"9341","It winds its way through undergrowth as easily as it swims through shallows."
"9342","Davvol encouraged the skirges; they made excellent sentries and were quite edible if properly seasoned."
"9343","Bogles are very tasty if you can get the skin off. It's getting a blade on them that's the problem."
"9344","""I'd rather be caught red-handed than leave empty-handed!"""
"9345","""It's a fine way to travel, if you don't mind the smell."""
"9346","The Eldrazi twisted in a direction that had no name, and a frontal assault became a panicked rout."
"9347","It's futile to fight something you can see only in the corner of your eye."
"9348","Instinctively drawn to the light of its ""mother-sun,"" each slith follows that sun's path around Mirrodin."
"9349","Goblins fear the slith, believing they are children banished from the womb of the Steel Mother, deep within Kuldotha."
"9350","Some naga initiates move as silently as the suns' reflections on the water."
"9351","""It makes better use of Uncle Dragi's head than he ever did."" —Pesha, retired blacksmith"
"9352","The slith incubate in the Great Furnace's heat, emerging on Mirrodin's surface only when the four suns have aligned overhead."
"9353","Born amid the molten metal of the Great Furnace, the slith have more than adapted to the perils of a metal world."
"9354","A slith's form and function are determined by the color of the sun under which it's born."
"9355","Slivers destroy those who come close to the Skep, the central hive. Shards of torn metal litter the ground as a warning to any artificers inquisitive about the hive's inner workings."
"9356","""This is the source, the line unbroken since the calamity that brought such monsters to our shores."" —Hastric, Thunian scout"
"9357","Hidden within the clicking, chittering swarm is a unique mind, still young, but growing more aware as time passes."
"9358","The end of evolution."
"9359","Her children are ever part of her."
"9360","After centuries of labor, its creations outnumber those they were to mimic."
"9361","""I used to joke that he had been exiled for being too smart. Now I know why he never laughed."" —Glissa Sunseeker"
"9362","Underneath the cities of Esper are cycles of life unseen by those who feed them."
"9363","Vark decided to lie down and think of a good excuse to quit working."
"9364","It's sent into unguilded districts by the Orzhov to collect the souls of those no one will miss."
"9365","The Agents of S.N.E.A.K — Subpar, Notoriously Evil Agent Killers."
"9366","The Agents of S.N.E.A.K.—Sinister Nerds Eliminating All Knowledge."
"9367","The Agents of S.N.E.A.K.—Serious, Nonstop Espionage and Kidnapping."
"9368","The Agents of S.N.E.A.K — Spies Nimbly Eluding Adversaries' Knives."
"9369","The Agents of S.N.E.A.K — Silent Ninjas Evading Any Kapture"
"9370","The Agents of S.N.E.A.K.—Skilled, Notably Efficient Assassin-Kickers."
"9371","Take away a few things, and a rebellion may ensue. Take away everything, and the oppression will be accepted as fate."
"9372","""I don't get it. Why doesn't anybody like me?"""
"9373","Ravnica's laws protect not its citizens but its industry. Aging equipment is destroyed rather than restored, to bring more money into the factories' coffers."
"9374","The giant Tarvik dreamed that trinkets and machines caused all the world's woe. When he awoke from his troubled sleep, he took the name Tarvik Relicsmasher."
"9375","""Looks like that wasn't darksteel after all."" —Koth of the Hammer"
"9376","""You've got your childhood wish at last. Now you get to die."" —Gerrard, to Volrath"
"9377","After watching the kor in battle, Gideon understood the difference between working together and working as one."
"9378","""The skies used to be my refuge, a place of peace away from the chaos below. Now, with every flight, death seems to follow me like a shadow."" —Writings of Cica, Skyjek scout"
"9379","""An entire order of mages who draw their power from Ravnica's smog? Yet another indicator of our world's decay."" —Dravash, dowsing shaman"
"9380","""Be silent and listen to your inner fire. Only then can you walk the Path of Flame."""
"9381","The Mirari festers in its flesh."
"9382","""See your enemies from a thousand sides. Then you will find a thousand ways to kill them."""
"9383","A cinder's axe bears no marks from parrying a foe's blade."
"9384","The efreet are drawn to the Kaisham Wanderers, a loosely organized Jeskai school where trickery is employed to challenge the status quo and upend the belief systems of others."
"9385","The continent of Guul Draz is a geothermal swampland reeking of heat and decay."
"9386","""Life is a circle. Death is a vicious circle."""
"9387","""Before I hire new recruits, I test how long they can hold their breath. You'd be surprised how often it comes up."" —Zahr Gada, Halimar expedition leader"
"9388","""Uh, does anyone have a flute?"" —Rana, Suq'Ata market fool"
"9389","Losing his possessions distressed him, but the lack of limbs was strangely liberating."
"9390","Some fruits are best left ungathered."
"9391","If the ground is smooth, the way will be rough. —Deepwood saying"
"9392","It doesn't matter if the mind or body cracks first. They both have to go."
"9393","""If it returns years hence, our knowledge of how to combat it will be that much greater."" —Andorel, Tolarian sentinel"
"9394","Its vast network of roots and vines keeps it aware of distant dangers."
"9395","Foul-tempered, poorly trained, and mule-stubborn, the drake is the perfect test of the master's will."
"9396","All of Zendikar's beings sense the upheaval that accompanies the Eldrazi."
"9397","Lurking beneath the murky waters of Ixalan's rivers, sailbacks can rip a meal off the shore in the blink of an eye."
"9398","Built from a reconfigured thresher, it charges with light reflected off the golden plain, ready to take to the air in case of danger."
"9399","A hunter's precision and a durkvine's strength are a potent combination."
"9400","""I did not think I would understand the cold filigree creatures of this world, but they too are governed by the laws of nature."" —Nissa Revane"
"9401","Most creatures in the Krosan Forest feared the Mirari's power. A few fed upon it."
"9402","""Nothin' beat surprise—'cept rock."""
"9403","Keep watch only for the giants and you'll be eaten by the ants."
"9404","""In this line of work, you've got to know how to squirrel things away. Quite literally, in my case."""
"9405","There's little advantage to surprising the gahr."
"9406","""Give me wings to fly and speed to strike. In return, the glory I earn shall be yours."" —Steinar Icefist, Balduvian Shaman"
"9407","Sure-footed, strong-willed, and ill-tempered—and so is the ram."
"9408","""If you're starving, eat your horses, your dead, or yourself—but never eat your dog."" —General Jarkeld, the Arctic Fox"
"9409","They're fun to train—if you like stubborn, aggressive, and fiercely territorial."
"9410","""The bigger they are, the faster they rot."""
"9411","""Would you give up your hands to fly? That is what the birds have done."" —The One Thousand Questions"
"9412","It spoke with the voice of nature, but its words were curses spat upon humankind."
"9413","""We camped near the Sokenzan Mountains. Though I know its inhabitants are sparse, I hear cries coming from the highest peaks every night, as if the mountains themselves bellow for vengeance."" —Lost Battalion, message to General Takeno"
"9414","""People love to follow fools; they don't feel so alone then."" —Sorine Relicbane, Soldevi Heretic"
"9415","""This ceaseless device has helped uncover marvels unreachable by mere flesh."" —Arcum Dagsson, Soldevi machinist"
"9416","Slow and steady wins the race."
"9417","""In the arms of tragedy, there is little comfort in being right."" —Sorine Relicbane, Soldevi Heretic"
"9418","""Perhaps this time the power of the artificers shall be used wisely."" —Arcum Dagsson, Soldevi Machinist"
"9419","""To hide the truth is more than folly—it is fatal."" —Sorine Relicbane, Soldevi heretic"
"9420","""A dreadful invention. What ease is there under the watchful eye of cold steel?"" —Sorine Relicbane, Soldevi Heretic"
"9421","They look human—until they bleed."
"9422","""Dagsson saw the steam as life-giving—until his followers felt its scalding touch."" —Sorine Relicbane, Soldevi Heretic"
"9423","""Loyalty to coin alone is loyalty nonetheless."" —General Varchild"
"9424","""I hear the gods' voices in my dreams each night, and I offer bloody trophies on their altars each day."""
"9425","It fights with inhuman vigor."
"9426","The arrival of the God-Pharaoh marked a betrayal of both gods and mortals."
"9427","""You will be reimbursed for your donation."" ""The reimbursement is spiritual."" —Temple signs"
